id,title,href
rmarkdown-2.0,R Markdown Cheat Sheet,https://www.rstudio.com/wp-content/uploads/2016/03/rmarkdown-cheatsheet-2.0.pdf
rstudio-IDE,RStudio IDE Cheat Sheet,https://www.rstudio.com/wp-content/uploads/2016/01/rstudio-IDE-cheatsheet.pdf
shiny,Shiny Cheat Sheet,https://www.rstudio.com/wp-content/uploads/2016/01/shiny-cheatsheet.pdf
ggplot2-2.1,Data Visualization Cheat Sheet,https://www.rstudio.com/wp-content/uploads/2016/11/ggplot2-cheatsheet-2.1.pdf
devtools,Package Development Cheat Sheet,https://www.rstudio.com/wp-content/uploads/2015/06/devtools-cheatsheet.pdf
data-wrangling,Data Wrangling Cheat Sheet,https://www.rstudio.com/wp-content/uploads/2015/02/data-wrangling-cheatsheet.pdf
rmarkdown-reference,R Markdown Reference Guide,https://www.rstudio.com/wp-content/uploads/2015/03/rmarkdown-reference.pdf
r-cheat-sheet-3,Base R,https://www.rstudio.com/wp-content/uploads/2016/10/r-cheat-sheet-3.pdf
advancedR,Advanced R,https://www.rstudio.com/wp-content/uploads/2016/02/advancedR.pdf
RegExCheatsheet,Regular Expressions,https://www.rstudio.com/wp-content/uploads/2016/09/RegExCheatsheet.pdf
how-big-is-your-graph,How big is your graph? (base R graphics),https://www.rstudio.com/wp-content/uploads/2016/10/how-big-is-your-graph.pdf
